mapName,roundNum,ctScore,tScore,ctTeam,tTeam,ctFreezeTimeEndEqVal,ctRoundStartEqVal,ctBuyType,tFreezeTimeEndEqVal,tRoundStartEqVal,tBuyType,winnerSide
de_overpass,4,1,2,Party Astronauts,timbermen,20450,8350,Full Buy,23700,14400,Full Buy,0
de_vertigo,35,17,17,ATK,Party Astronauts,31100,5700,Full Buy,27850,20350,Full Buy,0
de_overpass,10,3,6,Looking4Org,FORZE,1000,1000,Full Eco,27750,24050,Full Buy,0
de_inferno,23,12,10,Party Astronauts,FLUFFY AIMERS,27700,11950,Full Buy,24500,1000,Full Buy,0
de_anubis,8,7,0,paiN Gaming,FLUFFY AIMERS,33300,19100,Full Buy,10000,1000,Semi Buy,1
de_mirage,13,9,3,FORZE,Grayhound,25100,7050,Full Buy,23400,1000,Full Buy,1
de_mirage,21,14,6,BocaJrsGaming,W7M Academy,30550,17250,Full Buy,27050,22650,Full Buy,0
de_overpass,5,1,3,Spirit Academy,forZe-,12650,5800,Semi Buy,25400,12100,Full Buy,0
de_ancient,18,7,10,Into The Win,HEET,6200,5300,Semi Eco,19600,11600,Semi Buy,0
de_mirage,11,4,6,Wildcard,ATK,18500,1000,Semi Buy,27350,26450,Full Buy,1
de_overpass,8,2,5,Party Astronauts,Nouns Esports,29100,14550,Full Buy,13850,1000,Semi Buy,1
de_inferno,18,7,10,w7m Academy,SOLID,10700,4150,Semi Buy,20700,9300,Full Buy,1
de_overpass,20,8,11,ODDIK,Team Solid,19500,1000,Semi Buy,26000,10450,Full Buy,1
de_ancient,14,10,3,NIBBLE,VYBN,4150,1000,Full Eco,28250,15750,Full Buy,0
de_overpass,33,16,16,Nouns Esports,Party Astronauts,31150,8800,Full Buy,28150,1000,Full Buy,1
de_ancient,14,4,9,MYD,GTZ ESPORTS,28200,13450,Full Buy,27750,1000,Full Buy,1
de_nuke,24,8,15,HEROIC,BIG,26650,15500,Full Buy,6100,1000,Semi Eco,1
de_ancient,8,3,4,SELECAO,Team Solid,3550,1000,Full Eco,25600,14450,Full Buy,0
de_vertigo,14,8,5,MIBR Academy,ex-Corinthians,28750,6200,Full Buy,27450,23450,Full Buy,1
de_nuke,20,10,9,PGE Turów,Illuminar Gaming,29300,16700,Full Buy,1700,1000,Full Eco,1
de_ancient,21,7,13,Party Astronauts,ATK,31600,21000,Full Buy,3000,1000,Full Eco,1
de_mirage,10,7,2,Party Astronauts,Strife,28650,16100,Full Buy,23450,1000,Full Buy,0
de_anubis,12,5,6,Sangal Esports,Into The Win,22800,1000,Full Buy,27250,18650,Full Buy,1
de_vertigo,18,8,9,Team Vitality,HEROIC,7900,7000,Semi Eco,22850,14900,Full Buy,0
de_ancient,25,12,12,Sampi-Tipsport,VISU Gaming,30950,20850,Full Buy,6300,1000,Semi Eco,1
de_mirage,26,10,15,Nouns Esports,Party Astronauts,23600,5250,Full Buy,28050,15850,Full Buy,0
de_ancient,17,7,9,NAVI,Ninjas in Pyjamas,19950,1950,Semi Buy,13050,1000,Semi Buy,1
de_inferno,13,6,6,ESCA GAMING,Iron Branch,30950,16150,Full Buy,23600,1000,Full Buy,0
de_ancient,6,2,3,HOTU,Nightmare eSports,22150,1000,Full Buy,27250,15150,Full Buy,0
de_inferno,16,8,7,Wildcard,Limitless,4100,1000,Full Eco,4300,1000,Full Eco,1
de_mirage,13,3,9,paiN,BIG,8350,5200,Semi Eco,27850,15350,Full Buy,0
de_mirage,27,13,13,BIG,NAVI,30200,20350,Full Buy,26250,5100,Full Buy,1
de_ancient,18,5,12,ESCA GAMING,Iron Branch,26250,10900,Full Buy,6750,1000,Semi Eco,1
de_mirage,11,10,0,Team Solid,Paqueta Gaming,26800,12150,Full Buy,26650,1000,Full Buy,1
de_mirage,28,13,14,EX-HNRS,Websterz,30350,19400,Full Buy,9100,4700,Semi Eco,0
de_mirage,2,1,0,timbermen,FLUFFY AIMERS,20050,2700,Full Buy,1600,1000,Full Eco,1
de_ancient,32,16,15,AGO esports,KS,26850,5400,Full Buy,25300,1000,Full Buy,0
de_ancient,32,14,15,Team 7AM NA,timbermen,30550,15400,Full Buy,11900,1000,Semi Buy,0
de_inferno,5,2,2,TropiCaos,W7M Academy,3650,1000,Full Eco,25600,10450,Full Buy,0
de_ancient,6,3,2,Spirit,Aurora_,30250,21250,Full Buy,23700,1000,Full Buy,1
de_inferno,15,6,8,Aurora_,FORZE,29800,14450,Full Buy,11100,1000,Semi Buy,0
de_overpass,21,7,13,NoVum,Joker,15350,9600,Semi Buy,27650,15850,Full Buy,1
de_vertigo,5,3,1,KS,AGO esports,20250,1000,Full Buy,25000,13100,Full Buy,0
de_nuke,13,7,5,Wildcard,Take Flyte,29050,17650,Full Buy,5950,1000,Semi Eco,1
de_vertigo,20,9,10,Team Vitality,HEROIC,28350,17700,Full Buy,25450,1000,Full Buy,0
de_inferno,5,2,2,Limitless,Wildcard,7100,6400,Semi Eco,22100,12600,Full Buy,0
de_anubis,2,1,0,Strife,Mach 5,20450,2400,Full Buy,1100,1000,Full Eco,1
de_inferno,12,4,13,Team Singularity,Illuminar Gaming,2500,1000,Full Eco,23150,5200,Full Buy,0
de_nuke,2,1,0,Looking4Org,Copenhagen Flames,20050,3300,Full Buy,9950,1000,Semi Eco,1
de_nuke,14,11,2,Looking4Org,Copenhagen Flames,32350,1000,Full Buy,20300,1000,Full Buy,1
de_inferno,21,7,13,B4 Demons,WINDINGOgg,8500,1000,Semi Eco,27550,6750,Full Buy,0
de_mirage,16,11,4,ENCE ACADEMY,ESCA GAMING,4200,1000,Full Eco,4150,1000,Full Eco,1
de_vertigo,21,9,11,Ninjas in Pyjamas,Vitality,12600,5250,Semi Buy,25500,17600,Full Buy,0
de_inferno,4,1,2,B8,KS,11700,1000,Semi Buy,27850,9050,Full Buy,1
de_vertigo,3,2,0,VYBN,NIBBLE,27400,9200,Full Buy,18400,1000,Semi Buy,1
de_overpass,4,1,2,Nixuh,Bravado Gaming,1400,1000,Full Eco,23550,12600,Full Buy,0
de_anubis,34,16,17,ATK,Wildcard,32550,1000,Full Buy,27550,1000,Full Buy,0
de_inferno,2,0,1,B8,KS,9750,1000,Semi Eco,19350,2950,Semi Buy,1
de_mirage,1,0,0,AGO esports,KS,3550,1000,Full Eco,4350,1000,Full Eco,1
de_vertigo,11,3,7,HEROIC,Team Vitality,31400,27700,Full Buy,21800,8600,Full Buy,1
de_overpass,13,4,8,Sampi-Tipsport,VISU Gaming,30950,15950,Full Buy,1100,1000,Full Eco,1
de_ancient,2,0,1,BESTIA,Team Solid,9950,1000,Semi Eco,20300,2400,Full Buy,0
de_inferno,22,4,15,w7m Academy,MIBR,28450,1000,Full Buy,26400,18300,Full Buy,1
de_ancient,28,12,15,BHOP Esports,Nouns Esports,28100,17200,Full Buy,27450,1000,Full Buy,0
de_anubis,21,8,12,Vitality,9INE,27050,4200,Full Buy,27550,11550,Full Buy,1
de_inferno,2,0,1,MIBR,w7m Academy,10700,1000,Semi Buy,19100,1000,Semi Buy,0
de_inferno,7,0,6,Imperial Sportsbet,The MongolZ,29700,11100,Full Buy,27550,10850,Full Buy,1
de_inferno,10,4,5,Party Astronauts,Snakes Den,29950,1000,Full Buy,22400,6950,Full Buy,1
de_inferno,28,12,15,W7M Academy,BocaJrsGaming,27850,5800,Full Buy,27250,11050,Full Buy,0
de_mirage,21,12,8,9 Pandas Esport,iNation,30250,26050,Full Buy,23400,1000,Full Buy,0
de_inferno,14,3,10,Looking4Org,FORZE,24900,8050,Full Buy,23300,1000,Full Buy,1
de_mirage,12,5,6,iNation,Ignis Serpens,23800,1000,Full Buy,22300,3800,Full Buy,0
de_vertigo,18,14,3,AGO esports,KS,25900,13250,Full Buy,12500,1000,Semi Buy,1
de_vertigo,18,5,12,Into the Breach,paiN,24400,10150,Full Buy,4750,1000,Full Eco,1
de_inferno,2,1,0,Bravado Gaming,Nixuh,20250,3350,Full Buy,1000,1000,Full Eco,1
de_nuke,8,2,5,Viperio,EX-HNRS,7500,6400,Semi Eco,24800,8900,Full Buy,0
de_nuke,27,11,15,Take Flyte,Wildcard,24950,10900,Full Buy,27950,19350,Full Buy,1
de_inferno,30,14,15,FORZE,Looking4Org,17650,1000,Semi Buy,22100,4900,Full Buy,0
de_inferno,4,3,0,Take Flyte,Party Astronauts,28600,15600,Full Buy,24700,1000,Full Buy,1
de_mirage,29,15,13,The MongolZ,Imperial Sportsbet,2050,1000,Full Eco,28450,15850,Full Buy,0
de_mirage,1,0,0,ZOMBLERS,ATK,4300,1000,Full Eco,4250,1000,Full Eco,0
de_inferno,7,6,0,Take Flyte,Party Astronauts,31350,24850,Full Buy,24650,10650,Full Buy,0
de_mirage,13,8,4,timbermen,FLUFFY AIMERS,30600,15450,Full Buy,24400,1000,Full Buy,1
de_ancient,22,12,7,DNMK,XvG Miracle,4100,1000,Full Eco,28650,17300,Full Buy,1
de_inferno,13,6,6,paiN Gaming,FLUFFY AIMERS,27800,15600,Full Buy,25700,20000,Full Buy,1
de_vertigo,25,9,15,ex-Corinthians,RED Canids,27650,10900,Full Buy,24450,1000,Full Buy,0
de_inferno,28,15,12,ATK,Party Astronauts,30500,16700,Full Buy,25350,1000,Full Buy,0
de_ancient,25,9,15,NAVI,HEROIC,32650,5100,Full Buy,27350,10850,Full Buy,0
de_overpass,13,6,6,Nixuh,Bravado Gaming,30800,19950,Full Buy,2900,1000,Full Eco,1
de_mirage,31,15,15,4ORMULA,timbermen,30250,1000,Full Buy,27350,1000,Full Buy,0
de_anubis,6,5,0,YNG SHARKS,Team Solid,29950,12450,Full Buy,23350,1000,Full Buy,1
de_overpass,7,2,4,NAVI,HEROIC,4350,1000,Full Eco,25200,12700,Full Buy,1
de_inferno,6,2,3,paiN Gaming,FLUFFY AIMERS,31550,25550,Full Buy,22100,1000,Full Buy,1
de_anubis,25,15,9,LDLC,ex-Copenhagen Flames,30550,19150,Full Buy,27800,1000,Full Buy,1
de_ancient,2,1,0,Sangal,Looking4Org,20050,3150,Full Buy,1000,1000,Full Eco,1
de_inferno,5,2,2,eMasters,Ocelot Sports,11550,1000,Semi Buy,23900,8650,Full Buy,0
de_mirage,4,1,2,AGO esports,KS,1000,1000,Full Eco,25600,13200,Full Buy,1
de_inferno,25,9,15,Akmuo,SD Invicta,23250,5100,Full Buy,25400,1000,Full Buy,0
de_inferno,19,12,6,NAVI,BIG,23750,17000,Full Buy,24600,1000,Full Buy,0
de_inferno,14,4,9,Endpoint CeX,KS,29500,14700,Full Buy,19900,1000,Semi Buy,0
de_overpass,37,15,18,Shimmer,Red Ded Redemption,31150,1000,Full Buy,27650,1000,Full Buy,1
de_mirage,8,3,4,Spirit,500Esports,30250,10750,Full Buy,27350,1000,Full Buy,1
de_anubis,17,6,10,Mach 5,Strife,19400,2400,Semi Buy,1200,1000,Full Eco,1
de_inferno,7,2,4,fightclub,DomiNation,22700,1000,Full Buy,28250,16250,Full Buy,1
de_nuke,8,1,6,WITHOUTWARNING,Take Flyte,8800,1000,Semi Eco,27550,12450,Full Buy,0
de_nuke,11,7,3,Party Astronauts,Strife,31750,7150,Full Buy,20700,1000,Full Buy,1
de_overpass,28,9,15,Strife,Party Astronauts,27200,10150,Full Buy,3900,1000,Full Eco,1
de_overpass,12,2,9,B4 Demons,ex-Corinthians,6050,1000,Semi Eco,27650,10100,Full Buy,0
de_vertigo,4,0,3,Apeks,Looking4Org,4800,1000,Full Eco,25700,5200,Full Buy,0
de_ancient,17,9,7,FURIA,HEROIC,1200,1000,Full Eco,20000,1000,Full Buy,0
de_mirage,4,0,3,9z Team,Fluxo,25950,1000,Full Buy,24700,15800,Full Buy,1
de_inferno,29,15,13,DomiNation,fightclub,7200,1000,Semi Eco,28150,1000,Full Buy,1
de_inferno,17,7,9,W7M Academy,FURIA ACADEMY,19900,2700,Semi Buy,1500,1000,Full Eco,1
de_ancient,12,5,6,timbermen,Team 7AM NA,8800,1000,Semi Eco,19300,7050,Semi Buy,0
de_inferno,22,10,11,HEROIC,Team Vitality,30350,27750,Full Buy,10600,5000,Semi Buy,1
de_inferno,6,4,1,ESCA GAMING,Nigma Galaxy,29600,25200,Full Buy,24600,1000,Full Buy,0
de_ancient,2,1,0,ATK,Party Astronauts,19800,1750,Semi Buy,11000,1000,Semi Buy,1
de_overpass,7,4,2,Team Solid,ODDIK,30500,12050,Full Buy,28550,17400,Full Buy,0
de_inferno,21,10,10,w7m Academy,SOLID,30650,19600,Full Buy,23000,1000,Full Buy,1
de_mirage,9,2,6,ESCA GAMING,ENCE ACADEMY,27650,5600,Full Buy,28250,13350,Full Buy,0
de_ancient,8,5,2,Nouns Esports,BHOP Esports,31350,19100,Full Buy,5200,1000,Semi Eco,1
de_ancient,12,9,2,EX-HNRS,Viperio,31150,5400,Full Buy,24150,1000,Full Buy,0
de_nuke,1,0,0,Looking4Org,Aurora,3550,1000,Full Eco,4300,1000,Full Eco,0
de_inferno,30,13,15,Websterz,EX-HNRS,12850,4750,Semi Buy,27750,10950,Full Buy,0
de_mirage,12,8,3,ATK,joker,9850,1000,Semi Eco,28450,7850,Full Buy,0
de_overpass,1,0,0,Team Solid,ODDIK,4200,1000,Full Eco,4350,1000,Full Eco,1
de_mirage,19,6,12,joker,ATK,26500,1000,Full Buy,24700,16900,Full Buy,1
de_nuke,16,11,4,ESCA GAMING,Nigma Galaxy,4250,1000,Full Eco,4900,1000,Full Eco,1
de_nuke,18,14,3,paiN Gaming,BHOP Esports,25000,15600,Full Buy,20650,1000,Full Buy,1
de_anubis,6,4,1,Cloud9,paiN,28550,19350,Full Buy,6900,1000,Semi Eco,1
de_mirage,17,10,6,Endpoint CeX,KS,13000,2050,Semi Buy,19800,1000,Semi Buy,0
de_vertigo,4,1,2,SELECAO,Team Solid,14950,5600,Semi Buy,23900,8050,Full Buy,1
de_mirage,42,20,21,BIG,NAVI,27250,11800,Full Buy,28150,1000,Full Buy,0
de_inferno,21,7,13,B4 Demons,WINDINGOgg,8500,1000,Semi Eco,27550,6750,Full Buy,0
de_mirage,6,4,1,timbermen,FLUFFY AIMERS,31400,24050,Full Buy,9650,4700,Semi Eco,0
de_mirage,18,5,12,Grayhound,FORZE,23950,8800,Full Buy,2800,1000,Full Eco,1
de_vertigo,25,14,10,Viperio,EX-HNRS,28600,11100,Full Buy,13900,1000,Semi Buy,1
de_mirage,27,12,14,00NATION,paiN,31350,15850,Full Buy,6250,1000,Semi Eco,0
de_vertigo,14,9,4,VYBN,NIBBLE,28450,16950,Full Buy,7600,1000,Semi Eco,1
de_mirage,17,4,11,FLUFFY AIMERS,timbermen,5300,5300,Semi Eco,12600,12600,Semi Buy,1
de_inferno,3,0,2,Party Astronauts,Snakes Den,8450,7950,Semi Eco,19800,12650,Semi Buy,0
de_nuke,7,2,4,Nigma Galaxy,ESCA GAMING,19050,1000,Semi Buy,23300,10450,Full Buy,0
de_ancient,26,13,12,NAVI,Ninjas in Pyjamas,7000,6900,Semi Eco,27450,24550,Full Buy,0
de_ancient,7,4,2,NIP,Astralis W,31050,17450,Full Buy,5750,1000,Semi Eco,1
de_mirage,4,0,3,NAVI,BIG,25900,1000,Full Buy,25200,16950,Full Buy,1
de_vertigo,27,14,12,Team Vitality,HEROIC,29300,11600,Full Buy,25600,13200,Full Buy,0
de_inferno,30,15,14,Scavengers,godsent,17800,1000,Semi Buy,27850,10750,Full Buy,0
de_inferno,25,10,14,W7M Academy,FURIA ACADEMY,26100,1000,Full Buy,27450,24750,Full Buy,0
de_nuke,11,2,8,ENCE ACADEMY,ESCA GAMING,10000,1000,Semi Buy,27450,11250,Full Buy,1
de_ancient,10,7,2,VISU Gaming,Sampi-Tipsport,31450,1000,Full Buy,27150,6750,Full Buy,1
de_overpass,9,6,2,Astralis,Spirit,29650,1000,Full Buy,24500,8600,Full Buy,1
de_nuke,23,13,9,Zero Tenacity,Sampi,30350,20200,Full Buy,6200,1000,Semi Eco,1
de_mirage,22,5,11,Take Flyte,Joker,1000,1000,Full Eco,18150,1000,Semi Buy,0
de_mirage,11,7,3,Party Astronauts,Strife,15700,5500,Semi Buy,26350,14450,Full Buy,0
de_inferno,14,4,9,Astralis W,NIP,28550,1000,Full Buy,27850,20250,Full Buy,0
de_mirage,14,6,7,Party Astronauts,Nouns Esports,27600,4850,Full Buy,25200,4700,Full Buy,1
de_inferno,12,7,4,Aurora,Looking4Org,4550,1000,Full Eco,19800,5200,Semi Buy,0
de_inferno,20,15,4,joker,NoVum,31550,22000,Full Buy,22300,1000,Full Buy,0
de_inferno,8,3,4,Party Astronauts,Wildcard,31600,27100,Full Buy,5650,1000,Semi Eco,1
de_inferno,25,12,12,HEROIC,Team Vitality,28250,11150,Full Buy,23300,1000,Full Buy,0
de_inferno,5,0,4,Sampi-Tipsport,VISU Gaming,15400,9950,Semi Buy,26800,10500,Full Buy,0
de_vertigo,8,4,3,Ignis Serpens,Nexus,28050,18350,Full Buy,20100,1000,Full Buy,0
de_inferno,9,8,0,ALTERNATE aTTaX,VISU Gaming,31150,14450,Full Buy,8100,1000,Semi Eco,1
de_vertigo,21,7,13,ex-Corinthians,MIBR Academy,30700,20550,Full Buy,22950,1000,Full Buy,1
de_vertigo,16,12,3,FLUFFY AIMERS,timbermen,4400,1000,Full Eco,4400,1000,Full Eco,0
de_overpass,13,10,2,MASONIC,MOUZ  NXT,30250,6200,Full Buy,28450,21550,Full Buy,0
de_inferno,11,2,8,Imperial Sportsbet,The MongolZ,10550,1000,Semi Buy,22550,5000,Full Buy,0
de_anubis,18,13,4,LDLC,ex-Copenhagen Flames,26950,14300,Full Buy,17450,1000,Semi Buy,1
de_mirage,29,13,15,00NATION,paiN,27900,12450,Full Buy,25750,1000,Full Buy,0
de_mirage,40,19,20,BIG,NAVI,31450,1000,Full Buy,27250,1000,Full Buy,0
de_inferno,14,6,7,Ignis Serpens,iNation,25700,7050,Full Buy,27450,1000,Full Buy,0
de_inferno,20,9,10,HEROIC,FURIA,30450,24850,Full Buy,24100,1000,Full Buy,1
de_vertigo,10,7,2,Strife,Party Astronauts,31850,22250,Full Buy,8650,1000,Semi Eco,1
de_vertigo,19,14,4,Team Singularity,PACT,26800,9200,Full Buy,14200,1000,Semi Buy,1
de_inferno,6,3,2,Party Astronauts,ATK,1400,1000,Full Eco,28750,24750,Full Buy,0
de_anubis,11,4,6,ATK,Wildcard,23100,1000,Full Buy,27900,24700,Full Buy,1
de_nuke,8,3,4,timbermen,BHOP Esports,29950,13350,Full Buy,25700,13100,Full Buy,0
de_nuke,6,1,4,Ocelot Sports,eMasters,23350,1000,Full Buy,25500,13800,Full Buy,0
de_mirage,15,6,8,Strife,Wildcard,28450,15750,Full Buy,27350,18500,Full Buy,1
de_anubis,3,2,0,9 Pandas Esport,iNation,26050,15750,Full Buy,22100,1000,Full Buy,1
de_vertigo,3,2,0,MYD,GTZ ESPORTS,24100,14050,Full Buy,21500,1000,Full Buy,1
de_nuke,32,15,16,Zero Tenacity,Sampi,31350,1000,Full Buy,27950,14950,Full Buy,0
de_vertigo,22,8,13,Looking4Org,Sangal,6800,1000,Semi Eco,26350,8700,Full Buy,0
de_anubis,20,5,14,Coalesce,Looking4Org,9150,1000,Semi Eco,25300,13900,Full Buy,1
de_nuke,15,9,5,Party Astronauts,Nouns Esports,21600,1000,Full Buy,24600,12600,Full Buy,0
de_nuke,18,14,3,ATK,Team Mystique,26900,20700,Full Buy,16150,1000,Semi Buy,1
de_inferno,6,5,0,SOLID,w7m Academy,31550,7350,Full Buy,27250,1000,Full Buy,0
de_inferno,1,0,0,9 Pandas,Astralis Talent,4300,1000,Full Eco,4300,1000,Full Eco,1
de_mirage,8,2,5,BD BETANO,MIBR,26300,4650,Full Buy,28550,25850,Full Buy,1
de_vertigo,11,3,7,MASONIC,MOUZ  NXT,27800,8450,Full Buy,27450,13300,Full Buy,0
de_vertigo,13,9,3,YNG SHARKS,Team Solid,28900,9000,Full Buy,7550,1000,Semi Eco,0
de_inferno,20,8,13,Looking4Org,Copenhagen Flames,29650,19550,Full Buy,1000,1000,Full Eco,1
de_mirage,25,9,15,Ninjas in Pyjamas,NAVI,12850,1000,Semi Buy,28050,24950,Full Buy,1
de_mirage,2,1,0,W7M Academy,CASE ESPORTS,20250,1000,Full Buy,18450,2500,Semi Buy,0
de_mirage,3,0,2,PGE Turów,Illuminar Gaming,5250,4350,Semi Eco,15250,6950,Semi Buy,0
de_ancient,17,8,8,HAVU,APEKS,20400,2800,Full Buy,1500,1000,Full Eco,1
de_nuke,21,9,11,paiN,BIG,30550,16550,Full Buy,5200,1000,Semi Eco,1
de_nuke,15,8,6,W7M Academy,TropiCaos,11600,1000,Semi Buy,25400,12900,Full Buy,0
de_overpass,19,9,9,Nouns Esports,Party Astronauts,28150,10900,Full Buy,22200,1000,Full Buy,0
de_vertigo,5,1,3,Corinthians CDS,B4 Demons,27650,18000,Full Buy,27100,21700,Full Buy,0
de_inferno,1,0,0,1WIN,Joker,4000,1000,Full Eco,4300,1000,Full Eco,0
de_inferno,9,3,5,BIG,NAVI,29500,9000,Full Buy,27550,19350,Full Buy,0
de_vertigo,8,1,6,Bravado Gaming,Nixuh,28150,5100,Full Buy,27550,18650,Full Buy,0
de_overpass,31,15,12,Red Ded Redemption,Shimmer,24050,1000,Full Buy,25100,16600,Full Buy,0
de_vertigo,25,9,15,Ninjas in Pyjamas,Vitality,28000,1000,Full Buy,25700,17800,Full Buy,1
de_ancient,15,3,11,BESTIA,Team Solid,32050,10850,Full Buy,25450,7650,Full Buy,0
de_anubis,1,0,0,Cloud9,paiN,4000,1000,Full Eco,4400,1000,Full Eco,0
de_ancient,10,0,9,BESTIA,Team Solid,28450,1000,Full Buy,28350,21250,Full Buy,0
de_inferno,1,0,0,Take Flyte,Party Astronauts,5000,1000,Semi Eco,4300,1000,Full Eco,1
de_mirage,19,12,6,ATK,Wildcard,29950,21000,Full Buy,27350,1000,Full Buy,0
de_vertigo,17,9,7,Party Astronauts,ATK,1800,1000,Full Eco,18700,2700,Semi Buy,0
de_nuke,21,10,10,Vitality,Monte,29500,6650,Full Buy,27550,17100,Full Buy,0
de_nuke,18,10,7,Nouns Esports,Party Astronauts,26000,11700,Full Buy,22900,1000,Full Buy,0
de_inferno,19,13,5,VISU Gaming,Sampi-Tipsport,1000,1000,Full Eco,26800,22200,Full Buy,0
de_mirage,18,6,10,ATK,Party Astronauts,20950,4250,Full Buy,10600,1000,Semi Buy,1
de_ancient,26,13,12,Sampi-Tipsport,VISU Gaming,33150,23950,Full Buy,26550,1000,Full Buy,1
de_nuke,26,15,10,Ignis Serpens,Nexus,32050,8250,Full Buy,23600,1000,Full Buy,1
de_overpass,18,9,8,Iron Branch,EX-HNRS,24850,14750,Full Buy,23000,1000,Full Buy,0
de_inferno,9,2,6,Party Astronauts,Classless,30650,15100,Full Buy,24500,1000,Full Buy,1
de_overpass,12,5,6,Limitless,Wildcard,28100,11200,Full Buy,23150,7250,Full Buy,0
de_vertigo,16,13,2,Nixuh,Bravado Gaming,3400,1000,Full Eco,4350,1000,Full Eco,1
de_mirage,7,1,5,ESCA GAMING,ENCE ACADEMY,30250,13600,Full Buy,26250,1000,Full Buy,1
